date	portal	url	title	status
2026-04-09	Unity	https://unity.com/careers/positions	Staff Graphics Engineer	added
2026-04-09	Epic Games	https://www.epicgames.com/site/en-US/careers/jobs	Principal ML Rendering Engineer	added
2026-04-09	Epic Games	https://www.epicgames.com/site/en-US/careers/jobs	Senior Rendering Programmer	added
2026-04-09	Epic Games	https://www.epicgames.com/site/en-US/careers/jobs/5457764004	Senior ML Rendering Engineer	added
2026-04-09	NVIDIA	https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite	Graphics/AI Engineering Denmark	added
2026-04-09	Anthropic	https://www.anthropic.com/careers	Senior Engineering London/Dublin	added
2026-04-09	Mistral AI	https://jobs.lever.co/mistral	ML/Research Engineer Paris/London	added
2026-04-09	Cohere	https://jobs.ashbyhq.com/cohere	Engineering Manager North	added
2026-04-09	Cohere	https://jobs.ashbyhq.com/cohere	FDE Infrastructure UK/EU	added
2026-04-09	Cohere	https://jobs.ashbyhq.com/cohere	MTS MLE London/Paris	added
2026-04-09	Hugging Face	https://apply.workable.com/huggingface/	Cloud ML Engineer EMEA	added
2026-04-09	Wellfound	https://wellfound.com/role/l/chief-technical-officer/europe	CTO AI Legal Tech Copenhagen	added
2026-04-09	Wellfound	https://wellfound.com/jobs/3713904-cto-strategy-integration-lead	CTO Strategy & Integration	added
2026-04-09	Novo Nordisk	https://www.novonordisk.com/careers/find-a-job.html	Director AI & Analytics	added
2026-04-09	Meta	https://www.metacareers.com/areas-of-work/arvr/	AR/VR Graphics London/Zurich	added
